iter	Logloss
0	0.6897581665
1	0.6864227102
2	0.6829185738
3	0.6798379228
4	0.6765498397
5	0.67333798
6	0.6710075209
7	0.6675985859
8	0.6646512981
9	0.6619850152
10	0.6594932427
11	0.6561082929
12	0.6532263484
13	0.6500068151
14	0.6473932012
15	0.6445817731
16	0.6422613174
17	0.6395288051
18	0.6369416764
19	0.6345295554
20	0.6318616465
21	0.6292257459
22	0.6268879962
23	0.6239252107
24	0.6213071707
25	0.6185049928
26	0.6158332327
27	0.6130123402
28	0.6101836035
29	0.6079605034
30	0.604951995
31	0.602661351
32	0.5998813532
33	0.5973048383
34	0.5950141412
35	0.5925924796
36	0.5897812053
37	0.5874840917
38	0.5855739515
39	0.5829423801
40	0.5806397491
41	0.5782551683
42	0.5754259488
43	0.5730470915
44	0.5708154491
45	0.5688336734
46	0.5662579832
47	0.5635996899
48	0.5614441149
49	0.5593253258
50	0.5575503562
51	0.5548797682
52	0.5525839947
53	0.5508878174
54	0.5488759159
55	0.5470405417
56	0.5453287521
57	0.5433253306
58	0.5411672128
59	0.5393505536
60	0.536658551
61	0.53417919
62	0.5325583956
63	0.5303204802
64	0.5282303962
65	0.5257644736
66	0.5243244798
67	0.5224071232
68	0.520522596
69	0.5187892284
70	0.5169930638
71	0.5150700318
72	0.5129828099
73	0.5109043746
74	0.5093636633
75	0.5077209902
76	0.5057660021
77	0.5036575547
78	0.5021765065
79	0.4998381365
80	0.4980141896
81	0.4960072588
82	0.4942558766
83	0.4924670058
84	0.4905389701
85	0.4883599046
86	0.4866118856
87	0.4851120728
88	0.4836182416
89	0.4815858371
90	0.4799214944
91	0.4781281999
92	0.4762292277
93	0.4747316246
94	0.4727329483
95	0.4709134573
96	0.4693646266
97	0.4676361758
98	0.4656737158
99	0.4637701509
100	0.4619649331
101	0.4601771696
102	0.4585212798
103	0.4568406608
104	0.4553470661
105	0.4536614834
106	0.4519856105
107	0.4509296602
108	0.4494308471
109	0.4476177401
110	0.4452838024
111	0.4435620951
112	0.4419663826
113	0.4401560995
114	0.4385314744
115	0.4371659945
116	0.4353453192
117	0.4339650058
118	0.4325032012
119	0.4306813668
120	0.4294278922
121	0.4277413852
122	0.4262661193
123	0.4246475745
124	0.4228011921
125	0.4214496506
126	0.4201588833
127	0.4184851235
128	0.4174124614
129	0.4160775342
130	0.4148095186
131	0.4131226786
132	0.411680913
133	0.4104502112
134	0.4089173601
135	0.4075929351
136	0.4061779789
137	0.404926806
138	0.4035972468
139	0.401991003
140	0.4005822962
141	0.3990458143
142	0.3976390611
143	0.3965116108
144	0.3952346386
145	0.3942796374
146	0.3934640804
147	0.3919480986
148	0.3907536517
149	0.389746202
150	0.3883035281
151	0.3868710194
152	0.3860307438
153	0.384770062
154	0.3832868413
155	0.3819359964
156	0.3802851599
157	0.3793318748
158	0.3781462832
159	0.3770983544
160	0.3759838298
161	0.3750088068
162	0.37422074
163	0.3727454374
164	0.3715116862
165	0.3698691735
166	0.3686554743
167	0.36754092
168	0.3664396472
169	0.3654526632
170	0.3645700648
171	0.3636561565
172	0.362380739
173	0.3612764273
174	0.3601419832
175	0.3592492951
176	0.3578183936
177	0.3567011997
178	0.3555935995
179	0.3543885448
180	0.3530973641
181	0.3518473475
182	0.3507876619
183	0.3496602178
184	0.3484516557
185	0.3471926882
186	0.3457746546
187	0.3447579248
188	0.3436327528
189	0.3427898715
190	0.3417609676
191	0.3406222285
192	0.3397811802
193	0.3385301317
194	0.3376673131
195	0.336454972
196	0.3353845695
197	0.3343593242
198	0.3333323482
199	0.3322170315
200	0.3310304991
201	0.3299775853
202	0.3287976802
203	0.3277586667
204	0.3268304979
205	0.3260409779
206	0.3251080366
207	0.3243382328
208	0.3235794208
209	0.3224810629
210	0.3211613293
211	0.3202220081
212	0.3192248545
213	0.3183613086
214	0.3173210892
215	0.3166447113
216	0.3157229508
217	0.3146897212
218	0.3137794453
219	0.3127359299
220	0.3117482155
221	0.3107061288
222	0.3095658353
223	0.3085839046
224	0.3081145287
225	0.307353727
226	0.3065262742
227	0.3054825821
228	0.3046612341
229	0.3037362808
230	0.3029920014
231	0.3020848999
232	0.3011389528
233	0.3001186261
234	0.2991905241
235	0.2985458541
236	0.2978038915
237	0.2971743443
238	0.2962052035
239	0.295514058
240	0.2947798325
241	0.2939264608
242	0.2930895544
243	0.2924247546
244	0.2913415645
245	0.2906803602
246	0.2898725516
247	0.2890851518
248	0.2885194899
249	0.2878214403
250	0.2870715741
251	0.2862934277
252	0.2857699305
253	0.2850246107
254	0.2842568453
255	0.2837713185
256	0.2831461434
257	0.2823365847
258	0.2814010477
259	0.2802178068
260	0.2796671064
261	0.2790010878
262	0.2783604275
263	0.2776089466
264	0.2768446977
265	0.2762260355
266	0.275562453
267	0.2748915816
268	0.2741399132
269	0.2733893506
270	0.2725778996
271	0.2719147853
272	0.271124759
273	0.2704793419
274	0.2697934213
275	0.2692650216
276	0.2684459048
277	0.2678659919
278	0.2673065754
279	0.2665668388
280	0.2659290342
281	0.2653818222
282	0.2647070698
