iter	Passed	Remaining
0	5	5475
1	11	5864
2	17	5904
3	23	5938
4	29	5833
5	34	5742
6	40	5756
7	46	5762
8	52	5808
9	58	5755
10	63	5740
11	70	5801
12	75	5755
13	81	5763
14	86	5699
15	92	5665
16	99	5760
17	105	5738
18	110	5719
19	115	5677
20	121	5654
21	127	5685
22	136	5810
23	144	5867
24	149	5839
25	156	5866
26	164	5914
27	170	5923
28	177	5926
29	183	5932
30	188	5905
31	194	5873
32	200	5861
33	205	5840
34	212	5862
35	218	5845
36	224	5836
37	231	5849
38	236	5822
39	242	5819
40	247	5797
41	253	5790
42	260	5793
43	265	5770
44	272	5774
45	277	5756
46	282	5737
47	288	5727
48	295	5733
49	302	5745
50	307	5727
51	313	5713
52	320	5723
53	326	5722
54	331	5697
55	337	5693
56	344	5702
57	350	5698
58	357	5696
59	362	5679
60	368	5672
61	374	5665
62	380	5658
63	386	5657
64	391	5627
65	397	5619
66	404	5629
67	409	5609
68	415	5600
69	420	5593
70	426	5578
71	431	5563
72	436	5548
73	442	5531
74	447	5518
75	452	5498
76	458	5492
77	463	5481
78	468	5459
79	473	5444
80	478	5429
81	483	5413
82	489	5407
83	495	5403
84	502	5413
85	508	5405
86	516	5425
87	523	5424
88	530	5430
89	537	5430
90	543	5424
91	548	5418
92	553	5402
93	558	5384
94	563	5364
95	568	5352
96	573	5339
97	579	5332
98	584	5322
99	590	5314
100	595	5302
101	600	5283
102	605	5270
103	611	5268
104	617	5264
105	622	5251
106	627	5240
107	633	5232
108	639	5230
109	646	5231
110	654	5245
111	660	5240
112	668	5245
113	674	5243
114	680	5235
115	685	5225
116	693	5231
117	699	5225
118	703	5210
119	709	5205
120	715	5194
121	721	5195
122	728	5192
123	737	5207
124	744	5209
125	751	5213
126	758	5216
127	765	5216
128	771	5210
129	777	5203
130	787	5220
131	793	5215
132	800	5217
133	807	5215
134	813	5214
135	819	5205
136	825	5197
137	830	5186
138	835	5172
139	840	5163
140	847	5160
141	853	5156
142	858	5147
143	865	5142
144	871	5139
145	878	5138
146	884	5132
147	890	5125
148	896	5118
149	901	5110
150	907	5103
151	914	5100
152	919	5091
153	926	5088
154	932	5081
155	940	5085
156	945	5078
157	951	5070
158	959	5076
159	966	5071
160	973	5070
161	979	5066
162	987	5070
163	992	5059
164	998	5052
165	1003	5041
166	1008	5028
167	1013	5017
168	1018	5009
169	1024	5001
170	1029	4992
171	1034	4980
172	1039	4969
173	1045	4964
174	1050	4950
175	1056	4944
176	1062	4940
177	1069	4939
178	1075	4931
179	1082	4931
180	1087	4923
181	1094	4920
182	1100	4912
183	1106	4905
184	1114	4907
185	1120	4902
186	1126	4896
187	1136	4908
188	1141	4899
189	1147	4892
190	1153	4885
191	1159	4878
192	1164	4869
193	1171	4867
194	1178	4864
195	1185	4863
196	1195	4871
197	1204	4878
198	1214	4887
199	1222	4891
200	1230	4893
201	1239	4896
202	1246	4893
203	1254	4894
204	1261	4891
205	1268	4888
206	1275	4884
207	1279	4872
208	1285	4863
209	1289	4851
210	1296	4847
211	1304	4847
212	1309	4838
213	1317	4837
214	1323	4832
215	1329	4827
216	1338	4828
217	1345	4826
218	1355	4835
219	1361	4828
220	1367	4819
221	1373	4811
222	1378	4801
223	1382	4790
224	1387	4779
225	1393	4773
226	1398	4762
227	1403	4752
228	1409	4746
229	1415	4737
230	1422	4737
231	1429	4730
232	1435	4724
233	1442	4722
234	1449	4719
235	1457	4716
236	1462	4709
237	1468	4701
238	1474	4693
239	1479	4684
240	1485	4677
241	1491	4672
242	1498	4669
243	1504	4661
244	1511	4657
245	1517	4649
246	1522	4642
247	1529	4637
248	1537	4636
249	1544	4632
250	1549	4623
251	1554	4613
252	1560	4606
253	1565	4597
254	1570	4589
255	1576	4582
256	1581	4572
257	1587	4564
258	1593	4557
259	1598	4549
260	1603	4541
261	1609	4534
262	1615	4526
263	1621	4520
264	1628	4515
265	1635	4512
266	1643	4511
267	1651	4511
268	1659	4509
269	1668	4509
270	1675	4506
271	1683	4505
272	1690	4502
273	1695	4493
274	1703	4489
275	1707	4480
276	1713	4473
277	1720	4467
278	1725	4459
279	1732	4455
280	1737	4445
281	1743	4438
282	1748	4430
283	1753	4422
284	1762	4422
285	1769	4416
286	1777	4416
287	1784	4411
288	1791	4406
289	1798	4402
290	1804	4396
291	1810	4389
292	1816	4382
293	1824	4380
